claim_id,policy_start,incident_date,claim_amount,state,vehicle_type,incident_type,fact_of_loss,reported_by,policy_limit,insured_age,prior_claims_count,fraud_flag,severity_score
XAJI0Y6DP,2021-05-09,2021-12-17,1732.87,WV,Truck,Weather Damage,Hailstorm caused significant roof and hood damage to V1,claimant,55174,47,1,0,0.01
BHSAHXTHV,2020-05-09,2020-05-29,8454.12,CO,Sedan,Weather Damage,V2 rear-ended V1 while stopped at a red light,claimant,95728,67,0,0,0.65
3A3ZMF8MD,2018-08-08,2019-08-08,13111.49,IN,Van,Head-on Collision,V2 crossed centerline and hit V1 head-on,insured,15000,50,3,0,1.0
D4V30T9NT,2019-12-30,2020-08-03,74283.19,KY,Sedan,Theft,V2 was behind V1 when it began backing up,insured,24316,75,1,0,0.65
3W5UZBIKC,2020-12-16,2021-07-19,8127.65,WA,Coupe,Side-impact,V2 ran a stop sign and hit the side of V1,insured,100000,34,5,1,0.88
IDKWNNHJ7,2019-03-29,2020-03-17,14111.41,UT,Coupe,Theft,V2 ran a stop sign and hit the side of V1,insured,94016,68,1,0,0.75
XVG0FN9XU,2019-05-24,2019-05-29,38818.44,TX,Truck,Side-impact,V2 turned left and struck the side of V1,claimant,15000,18,4,1,0.25
Y41IBLJH7,2020-01-17,2020-02-20,20273.88,MT,SUV,Side-impact,Hailstorm caused significant roof and hood damage to V1,claimant,18207,32,3,0,0.12
5LXO6QJIU,2021-04-30,2021-05-05,22825.32,DC,Van,Theft,V2 rear-ended V1 while stopped at a red light,claimant,15000,74,3,0,0.82
JV6OH9SDB,2020-08-29,2020-09-03,1002.52,AS,SUV,Side-impact,V2 rear-ended V1 while stopped at a red light,claimant,15899,62,0,0,0.28
DW2PCN9T8,2020-03-01,2020-09-17,38374.94,NV,Van,Backing Collision,V2 was behind V1 when it began backing up,insured,23582,18,2,0,0.01
4AZYTJXEP,2018-08-30,2018-10-16,19344.14,OR,Coupe,Weather Damage,V2 crossed centerline and hit V1 head-on,insured,15000,45,0,0,1.0
Q85JSG65K,2020-09-08,2021-01-25,8805.79,TX,SUV,Head-on Collision,V2 turned left and struck the side of V1,claimant,96744,57,0,0,0.66
XVF1T2TAL,2020-11-15,2021-02-17,61459.71,AL,Truck,Backing Collision,V2 turned left and struck the side of V1,claimant,95051,28,4,1,0.83
A753LC58D,2021-05-15,2022-03-17,64802.27,WV,Truck,Weather Damage,V2 entered wrong lane and collided with V1,insured,92457,80,5,0,0.35
RC11ERTJ5,2020-02-09,2020-06-10,14378.69,CO,Coupe,Head-on Collision,V1 was missing after being parked overnight,claimant,17402,56,4,0,0.31
PHT0HL9XP,2021-03-21,2021-06-18,39162.87,CO,Coupe,Backing Collision,V1 was reported stolen from insured’s driveway,claimant,100000,33,0,1,0.94
SEIMVIHCW,2019-12-08,2020-03-16,1002.52,MA,SUV,Side-impact,V1 was missing after being parked overnight,claimant,88238,57,0,0,0.99
I64CIYHE7,2022-08-05,2023-08-05,45489.96,AK,Van,Rear-end Collision,V1 struck V2 while reversing from parking spot,insured,48344,35,1,0,0.01
UR23GDPPQ,2022-01-03,2022-06-13,16545.04,ND,Coupe,Rear-end Collision,V1 was damaged by falling tree during storm,claimant,19542,21,3,1,0.24
